id,Geographic Area,Households Median income (dollars),Year
0400000US51,Virginia,68114,2016
0400000US53,Washington,67106,2016
0400000US54,West Virginia,43385,2016
0400000US55,Wisconsin,56811,2016
0400000US56,Wyoming,59882,2016
0400000US72,Puerto Rico,20078,2016
0400000US01,Alabama,48123,2017
0400000US02,Alaska,73181,2017
0400000US04,Arizona,56581,2017
0400000US05,Arkansas,45869,2017
0400000US06,California,71805,2017
0400000US08,Colorado,69117,2017
0400000US09,Connecticut,74168,2017
0400000US10,Delaware,62852,2017
0400000US11,District of Columbia,82372,2017
0400000US12,Florida,52594,2017
0400000US13,Georgia,56183,2017
0400000US15,Hawaii,77765,2017
0400000US16,Idaho,52225,2017
0400000US17,Illinois,62992,2017
0400000US18,Indiana,54181,2017
0400000US19,Iowa,58570,2017
0400000US20,Kansas,56422,2017
0400000US21,Kentucky,48375,2017
0400000US22,Louisiana,46145,2017
0400000US23,Maine,56277,2017
0400000US24,Maryland,80776,2017
0400000US25,Massachusetts,77385,2017
0400000US26,Michigan,54909,2017
0400000US27,Minnesota,68388,2017
0400000US28,Mississippi,43529,2017
0400000US29,Missouri,53578,2017
0400000US30,Montana,53386,2017
0400000US31,Nebraska,59970,2017
0400000US32,Nevada,58003,2017
0400000US33,New Hampshire,73381,2017
0400000US34,New Jersey,80088,2017
0400000US35,New Mexico,46744,2017
0400000US36,New York,64894,2017
0400000US37,North Carolina,52752,2017
0400000US38,North Dakota,61843,2017
0400000US39,Ohio,54021,2017
0400000US40,Oklahoma,50051,2017
0400000US41,Oregon,60212,2017
0400000US42,Pennsylvania,59195,2017
0400000US44,Rhode Island,63870,2017
0400000US45,South Carolina,50570,2017
0400000US46,South Dakota,56521,2017
0400000US47,Tennessee,51340,2017
0400000US48,Texas,59206,2017
0400000US49,Utah,68358,2017
0400000US50,Vermont,57513,2017
0400000US51,Virginia,71535,2017
0400000US53,Washington,70979,2017
0400000US54,West Virginia,43469,2017
0400000US55,Wisconsin,59305,2017
0400000US56,Wyoming,60434,2017
0400000US72,Puerto Rico,19343,2017
